 Saving Account|"""Good service"""|                                 Past 1 year ago, i have chosen the savings account bank because they are providing the good service to the customers. I don't have any branch in my area and the branches are very less in all over the city. I don't use syndicate bank for any ATM withdrawals. | AFAQUE |                                     , thane|                                     Reviewed on Aug 26, 2019
 Saving Account|"""Excellent Service"""|                                 In Sadashiva nagar my home branch of Syndicate is located, being a centralized bank they are doing good job. The bank staffs are very helpful whenever I visit to the bank, I need to maintain the minimum balance of Rs. 1000 per month as per their norms.|H|                                     , bangalore|                                     Reviewed on Aug 22, 2019
 Other Loan|"""Good Service"""|                                 I have a salary account with Syndicate Bank for last 6months. The account opening process is very simple. It is a minimum balance to maintain for 500 rupees. The online services are good to use. There is no any charges are applicable. ATMs and branches are near to reach them directly.|ANSH|                                     , new delhi|                                     Reviewed on Aug 17, 2019
 Saving Account|"""Good"""|                                 Someone has suggested to me to open my fixed deposit account with Syndicate Bank. Their account was very helpful and they have explained me about terms and conditions too. I could manage this account via online. I am okay with the interest rate. The duration is 10 years.|  ROY|                                     , kolkata|                                     Reviewed on Aug 13, 2019
 Saving Account|"""Good"""|                                 I have opened my savings account with Syndicate Bank before 6months.Actually I wanted to open a Fixed Deposit hence have done that.  The account opening process is very simple. It is a minimum balance of 15,000 rupees. The online services are provided to me.|T  ROY|                                     , kolkata|                                     Reviewed on Aug 13, 2019
 Saving Account|"""Customer friendly"""|                                 I have opened the account from Syndicate bank  for my savings account purpose and the staffs are very customer friendly and supportive.  I am holding this account almost for last 5 years and doing my transaction in net banking and phone banking.  | SHETTY|                                     , mumbai|                                     Reviewed on Aug 09, 2019
 Gold Loan|"""Need improvement on the support"""|                                 I availed gold loan from Syndicate, they are not good in response. Whenever I go to the bank the staff are not cooperative, I took the amount of Rs. 2.67 lakhs for the duration of 2.5 years, the interest rate is very affordable. Only concern they should improve on their response and communication.|SANTOSH|                                     , hyderabad|                                     Reviewed on Aug 08, 2019
 Home Loan|"""Best experience with reasonable interest"""|                                 Directly I approached Syndicate bank at mangalore, they processed the home loan on time. In 2015 there was a manage he is proactive interms of helping the people hence within 2 days the home loan got approved. I took Rs. 10 lakhs for the duration of 15 years, the rate of interest was around 8% for per annum. | RAVI |                                     , thane|                                     Reviewed on Aug 06, 2019
 Home Loan|"""Good"""|                                 I have taken a home loan with SYNDICATE bank for just 4 months before which was processed directly to bank. They have sanctioned the loan within 8 days. The loan amount was sufficient for the tenure of 20 years. I am happy for the rate of interest which was given from while compare to other it is low. |ANA|                                     , mumbai|                                     Reviewed on Aug 05, 2019
 Saving Account|"""They have to update on technically"""|                                 For my crop loan purpose, i have opened the account from Syndicate bank and the staffs are patiently listening the customer's queries and they are helpful. The ATMs are very rare to find and it won't function most of the times even its there. My home branch youngsters are working who helps a lot even though i approach them through phone call. |ANONYMS|                                     , hyderabad|                                     Reviewed on Aug 04, 2019
 Saving Account|"""Excellent"""|                                 I have selected syndicate bank saving account  past 12 year ago no need maintain.Near by location ATM  is more, Mobile application  user friendly application , customer service is good .while with drawl from  ATM  per day RS  20,000.I will recommend to my friends and relatives.|MANJUNATH|                                     , bangalore|                                     Reviewed on Aug 03, 2019
